name,id_num,movies,movie_ids
Joseph Mell,83913,"['Naked Alibi', 'City of Fear', 'Murder by Contract', 'The 49th Man', 'The Lost Planet', 'Back Street', 'The Big Heat', 'Lord Love a Duck', 'I Was a Teenage Werewolf']","[28560, 37942, 18930, 128701, 252440, 43017, 14580, 52867, 43228]"
Clegg Hoyt,168061,"['Santiago', 'In the Heat of the Night', 'Gun Fever', '13 West Street', 'A Town Has Turned to Dust']","[197704, 10633, 127941, 134834, 353653]"
Michael Dugan,82510,"['No Questions Asked', 'Desperate Search', 'The Destructors', 'Ben-Hur', 'The Monster that Challenged the World', 'She Wore a Yellow Ribbon', 'Range Land', '3 Godfathers', 'The Marauders']","[73313, 120932, 247443, 665, 53949, 13909, 348080, 29244, 170422]"
John Hoyt,14508,"['Spartacus', 'Duel at Diablo', 'Flesh Gordon', 'The Black Castle', 'The Big Combo', 'Cleopatra', 'The Bribe', 'Blackboard Jungle', 'The Company She Keeps', 'Brute Force', 'Forever, Darling', ""Merrill's Marauders"", 'Baby Face Nelson', 'Trapped', 'The Lady Gambles', 'Moonfleet', 'Winter Meeting', 'Death of a Scoundrel', 'Attack of the Puppet People', 'Lost Continent', 'When Worlds Collide', 'The Lawless', 'The Come On', 'The Rhinemann Exchange', 'Mulberry Street', 'To the Ends of the Earth', 'Two on a Guillotine', 'Julius Caesar', 'The Time Travelers', 'The Student Prince', 'My Favorite Brunette', 'Loan Shark', 'The Unfaithful', 'Outside the Wall', 'The Pompatus of Love', 'O.S.S.', 'Wetbacks', 'The Purple Mask', 'New Mexico', 'Young Dillinger', 'Curse of the Undead', 'Gunpoint', 'Quebec', 'The Glass Cage', 'Sins of Jezebel', 'Sierra Stranger', 'Désirée', ""Casanova's Big Night"", 'Everybody Does It', 'The Beast of Budapest', 'Operation C.I.A.', 'Sealed Verdict', 'The Decision of Christopher Blake', 'The Great Dan Patch', 'Inside Straight', 'The Desert Fox: The Story of Rommel', 'Androcles and the Lion', 'The Girl in the Red Velvet Swing', 'Trial', 'The Conqueror', 'Mohawk', 'God Is My Partner', 'Never So Few', 'X: The Man with the X-Ray Eyes', 'Fame Is the Name of the Game', 'Winchester 73', 'Panic in the City', 'The Intruders', 'Welcome Home, Johnny Bristol', 'The Turning Point of Jim Malloy', 'The Winds of Kitty Hawk', 'A Great Ride', 'In Search of Historic Jesus', 'Riot in Juvenile Prison', 'Treachery and Greed on the Planet of the Apes', 'Nero Wolfe', 'The Cage']","[967, 1403, 3687, 30345, 22342, 8095, 25509, 26516, 27544, 28297, 28299, 35392, 35926, 29260, 36376, 29967, 43457, 62804, 44585, 44592, 16380, 64456, 46056, 46399, 17245, 39943, 48136, 18019, 49160, 68191, 18649, 72529, 72847, 73550, 85328, 94641, 140497, 110742, 130380, 116767, 147941, 167769, 194293, 253963, 242481, 244868, 43333, 57849, 260681, 250216, 107335, 320853, 148304, 252061, 220077, 26205, 48646, 82203, 114083, 24751, 68097, 320915, 4820, 32569, 320918, 320919, 137460, 255086, 320922, 320923, 281259, 320925, 98132, 93062, 385903, 262056, 433524]"
Malachi Throne,1213153,"['The Doomsday Flight', 'The Greatest', 'Six Hundred and Sixty-Six', 'Six Hundred and Sixty-Six', 'Mystery Woman: In the Shadows', 'Longarm', 'Stunts', 'Catch Me If You Can']","[83814, 69903, 352177, 352177, 166442, 358411, 71996, 640]"
Leonard Mudie,101742,"['Dark Victory', 'Killer Leopard', 'Arrest Bulldog Drummond', 'The Little Minister', ""Charlie Chan's Murder Cruise"", ""Don't Gamble with Strangers"", 'Captain Blood', ""They Won't Forget"", 'British Intelligence', 'African Treasure', 'Elephant Stampede', 'The King Without a Crown', 'Bomba and the Jungle Girl', 'The Golden Idol', 'When Were You Born', 'London by Night', 'The Checkered Coat', 'Shining Victory', 'Dark Hazard', ""His Brother's Wife"", 'The Mystery of Mr. X', 'The Mummy', 'Cardinal Richelieu', 'Madame X', ""The Nurse's Secret"", ""Devil's Island"", 'Nancy Drew... Reporter', 'The Story of Vernon and Irene Castle', 'Man About Town', 'Kidnapped', 'The Earl of Chicago', 'Brother Orchid', 'Foreign Correspondent', 'The Sea Hawk', 'The Letter', 'Waterloo Bridge', ""You'll Find Out"", ""A Dispatch from Reuter's"", 'The Adventures of Sherlock Holmes', 'He Stayed for Breakfast', ""You're a Sweetheart"", 'The Magnetic Monster', 'Shall We Dance', 'Congo Maisie', 'Clues to Adventure', 'My Name Is Julia Ross']","[27972, 28731, 37461, 43690, 38456, 64607, 16905, 80639, 51787, 120021, 177639, 252090, 252894, 252904, 227965, 242062, 246786, 256371, 109552, 152988, 149642, 15849, 286402, 43861, 176877, 30306, 23280, 18651, 247441, 109537, 116007, 26635, 25670, 26201, 17801, 43824, 80720, 109716, 17481, 117113, 218347, 44692, 31530, 69207, 461545, 42077]"
Adam Roarke,39770,"['A Bullet for Pretty Boy', 'El Dorado', 'Hells Angels on Wheels', 'The Savage Seven', 'Psych-Out', 'Frogs', 'Dirty Mary Crazy Larry', ""Hell's Belles"", 'Trespasses', 'Play It As It Lays', 'Hughes and Harlow: Angels in Hell', 'The Losers', '13 West Street', 'Women of the Prehistoric Planet', 'The Stunt Man', 'This Is a Hijack', 'Dangerous Touch']","[4882, 6644, 33642, 42650, 63100, 18274, 19017, 54177, 347588, 84796, 98350, 121901, 134834, 42727, 42160, 281249, 219832]"
Bob Johnson,1214921,['Bad Girls for the Boys'],[259681]
Meg Wyllie,153336,"['Marnie', 'Lipstick', 'Beauty and the Beast', ""Movin' On"", 'The Flight That Disappeared']","[506, 59809, 211603, 238243, 171861]"
Susan Oliver,90520,"['BUtterfield 8', 'The Gene Krupa Story', ""Your Cheatin' Heart"", 'Guns of Diablo', 'Hardly Working', 'The Green-Eyed Blonde', 'The Love-Ins', 'Ginger in the Morning', 'Looking For Love', 'Amelia Earhart', 'The Monitors', 'The Green Girl', 'International Airport', 'Do You Take This Stranger?', ""Carter's Army"", 'Nido de viudas', 'A Man Called Gannon', 'Change of Mind', 'The Cage', 'Death in Space']","[23724, 43108, 76283, 96089, 130724, 119312, 167953, 205761, 175994, 266131, 210940, 286334, 297786, 363221, 22739, 384760, 219302, 89574, 433524, 482055]"
