movie,movie_id,guest_names,guest_ids,count
Naked Alibi,28560,['Joseph Mell'],[83913],1
City of Fear,37942,"['Joseph Mell', 'Kathie Browne']","[83913, 16090]",2
Murder by Contract,18930,"['Joseph Mell', 'Kathie Browne', 'Phillip Pine']","[83913, 16090, 16126]",3
The 49th Man,128701,['Joseph Mell'],[83913],1
The Lost Planet,252440,['Joseph Mell'],[83913],1
Back Street,43017,"['Joseph Mell', 'Charles Drake']","[83913, 15978]",2
The Big Heat,14580,"['Joseph Mell', 'John Crawford', 'Celia Lovsky']","[83913, 15693, 15942]",3
Lord Love a Duck,52867,"['Joseph Mell', 'Sarah Marshall']","[83913, 124010]",2
I Was a Teenage Werewolf,43228,"['Joseph Mell', 'Whit Bissell']","[83913, 13786]",2
Santiago,197704,"['Clegg Hoyt', 'Paul Fix']","[168061, 8496]",2
In the Heat of the Night,10633,"['Clegg Hoyt', 'William Schallert']","[168061, 15992]",2
Gun Fever,127941,['Clegg Hoyt'],[168061],1
13 West Street,134834,"['Clegg Hoyt', 'Adam Roarke', 'Stanley Adams']","[168061, 39770, 1947]",3
A Town Has Turned to Dust,353653,"['Clegg Hoyt', 'James Gregory']","[168061, 14732]",2
No Questions Asked,73313,['Michael Dugan'],[82510],1
Desperate Search,120932,['Michael Dugan'],[82510],1
The Destructors,247443,"['Michael Dugan', 'David Brian', 'Michael Ansara']","[82510, 16016, 16074]",3
Ben-Hur,665,"['Michael Dugan', 'Richard Hale']","[82510, 16055]",2
The Monster that Challenged the World,53949,['Michael Dugan'],[82510],1
She Wore a Yellow Ribbon,13909,"['Michael Dugan', 'Paul Fix']","[82510, 8496]",2
Range Land,348080,['Michael Dugan'],[82510],1
3 Godfathers,29244,['Michael Dugan'],[82510],1
The Marauders,170422,['Michael Dugan'],[82510],1
Spartacus,967,"['John Hoyt', 'Vic Perrin', 'Peter Brocco', 'Carey Loftin', 'Dick Crockett', 'Gil Perkins']","[14508, 15949, 7074, 12431, 14256, 1214919]",6
Duel at Diablo,1403,"['John Hoyt', 'John Crawford']","[14508, 15693]",2
Flesh Gordon,3687,['John Hoyt'],[14508],1
The Black Castle,30345,['John Hoyt'],[14508],1
The Big Combo,22342,['John Hoyt'],[14508],1
Cleopatra,8095,['John Hoyt'],[14508],1
The Bribe,25509,['John Hoyt'],[14508],1
Blackboard Jungle,26516,['John Hoyt'],[14508],1
The Company She Keeps,27544,['John Hoyt'],[14508],1
Brute Force,28297,"['John Hoyt', 'Whit Bissell', 'Jeff Corey']","[14508, 13786, 9596]",3
"Forever, Darling",28299,['John Hoyt'],[14508],1
Merrill's Marauders,35392,['John Hoyt'],[14508],1
Baby Face Nelson,35926,"['John Hoyt', 'Elisha Cook Jr.', 'Anthony Caruso']","[14508, 3339, 16004]",3
Trapped,29260,['John Hoyt'],[14508],1
The Lady Gambles,36376,"['John Hoyt', 'John Harmon']","[14508, 117771]",2
Moonfleet,29967,"['John Hoyt', 'Ian Wolfe', 'Richard Hale']","[14508, 2782, 16055]",3
Winter Meeting,43457,['John Hoyt'],[14508],1
Death of a Scoundrel,62804,"['John Hoyt', 'Celia Lovsky']","[14508, 15942]",2
