83913,Joseph Mell
168061,Clegg Hoyt
82510,Michael Dugan
14508,John Hoyt
1213153,Malachi Throne
101742,Leonard Mudie
39770,Adam Roarke
1214921,Bob Johnson
153336,Meg Wyllie
90520,Susan Oliver
164771,Peter Duryea
1214891,Georgia Schmidt
30551,Jeffrey Hunter
1214907,Janos Prohaska
78692,Laurel Goodwin
1775091,Francine Pyne
1214881,Vince Howard
1759,Grace Lee Whitney
15621,Bruce Watson
1214880,Jeanne Bal
1214877,Eddie Paskey
15620,Alfred Ryder
121759,Michael Zaslow
1315468,Bill Bradley
1555684,Ron Veto
135066,Abraham Sofaer
1745,Gene Roddenberry
1214885,Charles J. Stewart
15626,"Robert Walker, Jr."
9805,Sally Kellerman
1214884,Robert H. Justman
1214883,Andrea Dromm
127601,Lloyd Haynes
15628,Paul Carr
8496,Paul Fix
246,Gary Lockwood
15635,Stewart Moss
1214878,Bruce Hyde
1766901,Edward Madden
1214888,Jim Goodwin
1769423,Jon Kowal
12424,Gene Dynarski
1214887,Maggie Thrett
15645,Susan Denberg
15644,Karen Steele
122004,Roger C. Carmel
1461992,Budd Albright
1402879,Vince Deadrick Sr.
9600,Ted Cassidy
15650,Michael Strong
119245,Sherry Jackson
1212973,Harry Basch
1776386,David L. Ross
8490,John Megna
8747,Stephen McEveety
6451,Michael J. Pollard
15655,Kim Darby
13869,Morgan Woodward
1729741,Susanne Wasson
14732,James Gregory
15659,Marianna Hill
161673,Sean Morgan
157282,Bruce Mars
1776894,Jeannie Malone
1556119,Anthony D. Call
1212769,Walker Edmiston
15949,Vic Perrin
50974,John Gabriel
15661,Clint Howard
27126,Hagan Beggs
1214900,Sean Kenney
936121,Julie Parrish
161340,William Sargent
161255,Barbara Anderson
15676,Arnold Moss
1768121,Barbara Baldavin
129676,John Warburton
153675,Paul Comi
1820,Mark Lenard
1213151,Lawrence Montaigne
1769185,Marcia Brown
161663,Emily Banks
1214896,Oliver McGowan
196562,Shirley Bonne
12295,Perry Lopez
1611570,Rees Vaughn
1769186,Peter Marko
1468833,Phyllis Douglas
15693,John Crawford
15692,Don Marshall
1720860,Venita Wolf
178296,Richard Carlyle
15746,Barbara Babcock
1214902,Michael Barrier
15699,William Campbell
1768125,Grant Woods
139933,James Farley
1497387,Jerry Ayres
151679,Sean Kenney
153501,Hal Lynch
1214565,John Winston
84325,Ed Peck
15707,Roger Perry
1769187,Alice Rawlings
15714,Joan Marshall
88451,Percy Rodriguez
10161,Richard Webb
3339,Elisha Cook Jr.
166047,Karl Held
15719,Charles Macaulay
1472601,Lev Mailer
19107,Harry Townes
4076,Morgan Farley
15721,Jon Lormer
10925,Torin Thatcher
1214904,Xenia Gratsos
5695,Sid Haig
1768201,Mark Tobin
1214905,MaKee K. Blaisdell
16659,Bobby Bass
127646,Madlyn Rhue
1793,Ricardo Montalban
22048,Robert Sampson
15724,Miko Mayama
153458,Gene Lyons
15744,David Opatoshu
6838,Frank Overton
15753,Jill Ireland
151491,Barry Russo
41719,Biff Elliot
15756,Brad Weston
2652,Ken Lynch
1090742,Victor Lundin
100799,George Sawaya
7074,Peter Brocco
24826,John Abbott
15765,John Colicos
15772,Richard Derr
15375,Janet MacLachlan
1214908,Robert Brown
117771,John Harmon
15781,Hal Baylor
12431,Carey Loftin
1214910,Howard Culver
13637,Joan Collins
151482,Byron Morrow
15942,Celia Lovsky
152660,Arlene Martel
1214911,Roger Holloway
1007561,Michael Forest
14733,Leslie Parrish
1214557,Marc Daniels
45100,Garth Pillsbury
15950,BarBara Luna
15954,Celeste Yarnall
15956,David Soul
15953,Keith Andes
15959,Richard Compton
8499,William Windom
