Movie,count,guest_ids,guest_names,movie_id
The Greatest Story Ever Told,6,"[135066, 1820, 15693, 24826, 15942, 16074]","['Abraham Sofaer', 'Mark Lenard', 'John Crawford', 'John Abbott', 'Celia Lovsky', 'Michael Ansara']",2428
Spartacus,6,"[14508, 15949, 7074, 12431, 14256, 1214919]","['John Hoyt', 'Vic Perrin', 'Peter Brocco', 'Carey Loftin', 'Dick Crockett', 'Gil Perkins']",967
True Grit,5,"[15620, 15655, 5247, 161405, 9596]","['Alfred Ryder', 'Kim Darby', 'John Fiedler', 'Ron Soble', 'Jeff Corey']",17529
Batman,5,"[100799, 14256, 1214919, 291, 16108]","['George Sawaya', 'Dick Crockett', 'Gil Perkins', 'Frank Gorshin', 'Lee Meriwether']",2661
The Cage,5,"[14508, 90520, 164771, 30551, 78692]","['John Hoyt', 'Susan Oliver', 'Peter Duryea', 'Jeffrey Hunter', 'Laurel Goodwin']",433524
Emperor of the North Pole,5,"[1214888, 3339, 5695, 15781, 14069]","['Jim Goodwin', 'Elisha Cook Jr.', 'Sid Haig', 'Hal Baylor', 'Vic Tayback']",31943
Scorpio,5,"[4076, 15765, 15954, 16030, 16051]","['Morgan Farley', 'John Colicos', 'Celeste Yarnall', 'William Smithers', 'Joanne Linville']",42738
To Kill a Mockingbird,5,"[8496, 8490, 6838, 8499, 16055]","['Paul Fix', 'John Megna', 'Frank Overton', 'William Windom', 'Richard Hale']",595
Brute Corps,5,"[15628, 15719, 126903, 15993, 12298]","['Paul Carr', 'Charles Macaulay', 'Joseph Bernard', 'Michael Pataki', 'Roy Jenson']",102178
Star Trek: Of Gods And Men,5,"[1759, 1213151, 152660, 15954, 16052]","['Grace Lee Whitney', 'Lawrence Montaigne', 'Arlene Martel', 'Celeste Yarnall', 'Jack Donner']",18231
Julius Caesar,5,"[14508, 4076, 2782, 16055, 16074]","['John Hoyt', 'Morgan Farley', 'Ian Wolfe', 'Richard Hale', 'Michael Ansara']",18019
One Man's Way,4,"[15721, 8499, 2782, 16086]","['Jon Lormer', 'William Windom', 'Ian Wolfe', 'Liam Sullivan']",278310
The High and the Mighty,4,"[8496, 15699, 15992, 16016]","['Paul Fix', 'William Campbell', 'William Schallert', 'David Brian']",17761
Soylent Green,4,"[4076, 15942, 13786, 12298]","['Morgan Farley', 'Celia Lovsky', 'Whit Bissell', 'Roy Jenson']",12101
40 Pounds of Trouble,4,"[15644, 153675, 12310, 16071]","['Karen Steele', 'Paul Comi', 'Warren Stevens', 'Gregg Palmer']",42990
Che!,4,"[135066, 12295, 5695, 15950]","['Abraham Sofaer', 'Perry Lopez', 'Sid Haig', 'BarBara Luna']",61411
Cry Tough,4,"[12295, 19107, 15950, 151511]","['Perry Lopez', 'Harry Townes', 'BarBara Luna', 'Arthur Batanides']",62671
Treachery and Greed on the Planet of the Apes,4,"[14508, 13869, 1820, 15998]","['John Hoyt', 'Morgan Woodward', 'Mark Lenard', 'Joseph Ruskin']",385903
The Lone Ranger,4,"[12295, 15983, 15992, 16074]","['Perry Lopez', 'Beverly Washburn', 'William Schallert', 'Michael Ansara']",108266
Hitler,4,"[135066, 161340, 15942, 45252]","['Abraham Sofaer', 'William Sargent', 'Celia Lovsky', 'Theo Marcuse']",102155
Dracula's Dog,4,"[152660, 15972, 15993, 16112]","['Arlene Martel', 'Reggie Nalder', 'Michael Pataki', 'Jan Shutan']",26703
Zig Zag,4,"[15635, 22048, 16028, 16101]","['Stewart Moss', 'Robert Sampson', 'William Marshall', 'Steve Ihnat']",84496
Blacula,3,"[3339, 15719, 16028]","['Elisha Cook Jr.', 'Charles Macaulay', 'William Marshall']",30566
El Dorado,3,"[39770, 8496, 50974]","['Adam Roarke', 'Paul Fix', 'John Gabriel']",6644
Hour of the Gun,3,"[8499, 15992, 16101]","['William Windom', 'William Schallert', 'Steve Ihnat']",31658
Skullduggery,3,"[122004, 16028, 151402]","['Roger C. Carmel', 'William Marshall', 'Booker Bradshaw']",273554
Diary of a Madman,3,"[15998, 69763, 2782]","['Joseph Ruskin', 'Nancy Kovack', 'Ian Wolfe']",29060
Blood Bath,3,"[15699, 5695, 41719]","['William Campbell', 'Sid Haig', 'Biff Elliot']",29070
Canon City,3,"[1468833, 13786, 9596]","['Phyllis Douglas', 'Whit Bissell', 'Jeff Corey']",61908
Executive Action,3,"[15628, 16006, 103034]","['Paul Carr', 'Lee Delano', 'Gilbert Green']",29142
Project X,3,"[16006, 16103, 16126]","['Lee Delano', 'Keye Luke', 'Phillip Pine']",29398
Homicidal,3,"[15714, 15968, 103034]","['Joan Marshall', 'Glenn Corbett', 'Gilbert Green']",29394
Drum Beat,3,"[12295, 3339, 16004]","['Perry Lopez', 'Elisha Cook Jr.', 'Anthony Caruso']",150875
Tobor the Great,3,"[15781, 15978, 15992]","['Hal Baylor', 'Charles Drake', 'William Schallert']",64071
Moonfleet,3,"[14508, 2782, 16055]","['John Hoyt', 'Ian Wolfe', 'Richard Hale']",29967
Up Your Teddy Bear,3,"[15973, 98241, 16019]","['Julie Newmar', 'Angelique Pettyjohn', 'Valora Noland']",124827
The Robe,3,"[10925, 16074, 16097]","['Torin Thatcher', 'Michael Ansara', 'Jay Robinson']",29912
The Young Stranger,3,"[14732, 13786, 13259]","['James Gregory', 'Whit Bissell', 'James Daly']",112558
Slaves of Babylon,3,"[15693, 15973, 16074]","['John Crawford', 'Julie Newmar', 'Michael Ansara']",350806
Man-Trap,3,"[30551, 12295, 151511]","['Jeffrey Hunter', 'Perry Lopez', 'Arthur Batanides']",83781
The Money Jungle,3,"[1007561, 14733, 15978]","['Michael Forest', 'Leslie Parrish', 'Charles Drake']",168281
Papillon,3,"[14069, 16030, 161405]","['Vic Tayback', 'William Smithers', 'Ron Soble']",5924
Head,3,"[135066, 15719, 16031]","['Abraham Sofaer', 'Charles Macaulay', 'Logan Ramsey']",18193
The Last Tycoon,3,"[4076, 118508, 9596]","['Morgan Farley', 'Tige Andrews', 'Jeff Corey']",37774
No Name on the Bullet,3,"[15978, 13786, 12310]","['Charles Drake', 'Whit Bissell', 'Warren Stevens']",51997
The Destructors,3,"[82510, 16016, 16074]","['Michael Dugan', 'David Brian', 'Michael Ansara']",247443
The Feminist and the Fuzz,3,"[15707, 15973, 151511]","['Roger Perry', 'Julie Newmar', 'Arthur Batanides']",247791
Dimension 5,3,"[30551, 15721, 16096]","['Jeffrey Hunter', 'Jon Lormer', 'France Nuyen']",52516
Accused of Murder,3,"[3339, 16016, 12310]","['Elisha Cook Jr.', 'David Brian', 'Warren Stevens']",37350
Lost Flight,3,"[153675, 126903, 1214919]","['Paul Comi', 'Joseph Bernard', 'Gil Perkins']",248738
Until They Sail,3,"[1468833, 118508, 15978]","['Phyllis Douglas', 'Tige Andrews', 'Charles Drake']",108812
Flash Gordon: The Greatest Adventure of All,3,"[9600, 15949, 15744]","['Ted Cassidy', 'Vic Perrin', 'David Opatoshu']",3679
M,3,"[119245, 15992, 15992]","['Sherry Jackson', 'William Schallert', 'William Schallert']",36373
Baby Face Nelson,3,"[14508, 3339, 16004]","['John Hoyt', 'Elisha Cook Jr.', 'Anthony Caruso']",35926
Madigan,3,"[12310, 16085, 16101]","['Warren Stevens', 'Michael Dunn', 'Steve Ihnat']",4931
Message to My Daughter,3,"[15693, 1497387, 16112]","['John Crawford', 'Jerry Ayres', 'Jan Shutan']",252907
Stand Up and Be Counted,3,"[246, 127646, 16074]","['Gary Lockwood', 'Madlyn Rhue', 'Michael Ansara']",421229
Black Tuesday,3,"[15949, 15992, 12310]","['Vic Perrin', 'William Schallert', 'Warren Stevens']",33224
The Glass Cage,3,"[14508, 3339, 152660]","['John Hoyt', 'Elisha Cook Jr.', 'Arlene Martel']",253963
The Black Bird,3,"[3339, 24826, 14069]","['Elisha Cook Jr.', 'John Abbott', 'Vic Tayback']",91554
The Seven Minutes,3,"[1947, 16112, 16119]","['Stanley Adams', 'Jan Shutan', 'Charles Napier']",5745
Tom Horn,3,"[3339, 16659, 12298]","['Elisha Cook Jr.', 'Bobby Bass', 'Roy Jenson']",5917
The Return of Count Yorga,3,"[15707, 15993, 16131]","['Roger Perry', 'Michael Pataki', 'Mariette Hartley']",28855
The Towering Inferno,3,"[153675, 15693, 132710]","['Paul Comi', 'John Crawford', 'Elizabeth Rogers']",5919
Drums of Africa,3,"[10925, 100799, 16131]","['Torin Thatcher', 'George Sawaya', 'Mariette Hartley']",278800
