Movie,count,guest_ids,guest_names,movie_id
The Greatest Story Ever Told,15,"[5833, 2641, 3090, 3160, 7505, 12355, 135066, 88906, 15693, 24820, 19217, 74763, 51348, 10169, 15942]","['Ed Wynn', 'Martin Landau', 'Richard Conte', 'Nehemiah Persoff', 'Roddy McDowall', 'Russell Johnson', 'Abraham Sofaer', 'Cyril Delevanti', 'John Crawford', 'Joseph Schildkraut', 'Frank Silvera', 'John Considine', 'David Sheiner', 'Telly Savalas', 'Celia Lovsky']",2428
North by Northwest,13,"[115460, 2652, 2641, 2651, 2645, 18870, 114961, 153486, 2646, 1947, 2643, 16765, 2644]","['Malcolm Atterbury', 'Ken Lynch', 'Martin Landau', 'Edward Binns', 'Adam Williams', 'Ned Glass', 'Olan Soule', 'Paul Genge', 'Edward Platt', 'Stanley Adams', 'Josephine Hutchinson', 'Madge Kennedy', 'Philip Ober']",213
Nevada Smith,11,"[179314, 2641, 2097, 31353, 3014, 8260, 1947, 45115, 2643, 3798, 8496]","['Merritt Bohn', 'Martin Landau', 'Ted de Corsia', 'Sheldon Allman', 'Val Avery', 'Strother Martin', 'Stanley Adams', 'Edy Williams', 'Josephine Hutchinson', 'Pat Hingle', 'Paul Fix']",5921
The Man Who Shot Liberty Valance,11,"[7303, 8516, 8260, 4078, 18391, 7520, 89938, 14966, 106506, 6462, 83149]","['Vera Miles', 'John Carradine', 'Strother Martin', 'Lee Van Cleef', 'Lee Marvin', 'Jeanette Nolan', 'Earle Hodgins', 'Andy Devine', 'Robert F. Simon', 'Denver Pyle', 'Willis Bouchey']",11697
Pocketful of Miracles,10,"[14452, 96722, 13874, 40623, 4965, 2314, 3163, 34448, 30115, 83149]","['Jerome Cowan', 'Byron Foulger', 'Marc Cavell', 'Hayden Rorke', 'Jack Elam', 'Peter Falk', 'George E. Stone', 'Dick Wessel', 'Frank Ferguson', 'Willis Bouchey']",248
Psycho,10,"[1936, 71146, 3641, 7303, 53010, 19111, 14063, 7520, 19110, 124848]","['Martin Balsam', 'Ted Knight', 'Vaughn Taylor', 'Vera Miles', 'John McIntire', 'John Anderson', 'Simon Oakland', 'Jeanette Nolan', 'Virginia Gregg', 'Francis De Sales']",539
Spartacus,10,"[2097, 151528, 7074, 1217498, 15949, 14507, 14508, 1358474, 1234570, 100790]","['Ted de Corsia', 'Logan Field', 'Peter Brocco', 'Jack Perkins', 'Vic Perrin', 'Paul Lambert', 'John Hoyt', 'Valley Keene', 'Betty Harford', 'Terence De Marney']",967
The Big Heat,10,"[2645, 96284, 1358454, 97835, 15693, 18391, 7520, 153443, 15942, 83149]","['Adam Williams', 'Alexander Scourby', 'Ezelle Poule', 'Phil Arnold', 'John Crawford', 'Lee Marvin', 'Jeanette Nolan', 'Phil Chambers', 'Celia Lovsky', 'Willis Bouchey']",14580
"It's a Mad, Mad, Mad, Mad World",10,"[29579, 13593, 2314, 93664, 8635, 14966, 19400, 1937, 34759, 21510]","['Charles Lane', 'Jonathan Winters', 'Peter Falk', 'Jesse White', 'Buster Keaton', 'Andy Devine', 'Roy Roberts', 'Mickey Rooney', 'Sterling Holloway', 'William Demarest']",11576
The Satan Bug,10,"[77136, 98458, 19111, 12309, 33479, 14063, 98796, 13578, 14833, 5403]","['John Clarke', 'Russ Bender', 'John Anderson', 'Anne Francis', 'Henry Beckman', 'Simon Oakland', 'Frank Sutton', 'Dana Andrews', 'Harold Gould', 'Richard Basehart']",27709
From the Terrace,9,"[115460, 2097, 5737, 72056, 78896, 3346, 88906, 12159, 54123]","['Malcolm Atterbury', 'Ted de Corsia', 'Raymond Bailey', 'George Grizzard', 'Elizabeth Allen', 'Dorothy Adams', 'Cyril Delevanti', 'Howard Caine', ""Patrick O'Neal""]",42541
The Rack,9,"[2645, 16125, 19219, 12309, 40185, 18391, 9599, 110204, 106506]","['Adam Williams', 'Barry Atwater', 'Fay Roope', 'Anne Francis', 'James Best', 'Lee Marvin', 'Cloris Leachman', 'Trevor Bardette', 'Robert F. Simon']",82838
Mr. Smith Goes to Washington,9,"[96722, 932308, 29579, 40212, 33178, 2672, 6463, 22091, 21510]","['Byron Foulger', 'Ferris Taylor', 'Charles Lane', 'Dave Willock', 'George Chandler', 'Jack Carson', 'Dub Taylor', 'Robert Sterling', 'William Demarest']",3083
To Kill a Mockingbird,9,"[6838, 98503, 96733, 105759, 8499, 3087, 8493, 8497, 8496]","['Frank Overton', 'Hugh Sanders', 'Kim Hamilton', 'Guy Wilkerson', 'William Windom', 'Robert Duvall', 'Ruth White', 'Collin Wilcox Paxton', 'Paul Fix']",595
Judgment at Nuremberg,9,"[101481, 71781, 2651, 1748, 213641, 126903, 89040, 12159, 93624]","['Virginia Christine', 'Ben Wright', 'Edward Binns', 'William Shatner', 'Oscar Beregi Jr.', 'Joseph Bernard', 'Ed Nelson', 'Howard Caine', 'Ray Teal']",821
